fecha,pais,dist_num_A,agot_num_A,ventas_unidades_A,ppu_A,inventarios_A,share_A,inversion_promos_A,inversion_promos_tv_A,dist_num_B,agot_num_B,ventas_unidades_B,ppu_B,inventarios_B,share_B
01/05/19,HD,44,6,2510100,2.902650492,2832600,0.254254285,0,0,82,5,6398000,2.759378009,6474500,0.648069365
01/06/19,HD,42,4,2405200,2.887546566,2845400,0.255483679,0,0,82,6,6060700,2.761780487,6890800,0.643775958
01/07/19,HD,41,3,2559200,2.910422593,2744600,0.261655488,0,0,83,6,6284500,2.759523192,7138900,0.642534353
01/08/19,HD,41,5,2568400,2.902386311,2934600,0.25406309,0,0,84,6,6633600,2.734417737,6423300,0.656187867
01/09/19,HD,40,3,2228700,2.908578992,3026400,0.232901048,0,0,83,3,6415500,2.748383524,6254700,0.670425214
01/10/19,HD,41,2,2413100,2.902846132,2963700,0.239197883,0,0,83,7,6711500,2.742488192,5776500,0.665275616
01/11/19,HD,43,3,2412500,2.896205389,2811000,0.261872456,0,0,84,6,5874200,2.755338089,6020300,0.63763365
01/12/19,HD,43,2,2404400,2.898705706,2952300,0.252165705,0,0,84,5,6185200,2.769911159,5803600,0.648683797
01/01/20,HD,44,3,2361700,2.849905788,3062000,0.256438933,0,0,84,5,5896800,2.768708452,5482600,0.640288395
01/02/20,HD,46,3,2396100,2.906912065,2944400,0.25888111,0,0,83,5,5915400,2.786155374,5493100,0.639115779
01/03/20,HD,45,3,2131900,2.892447347,2539300,0.250305265,0,0,81,5,5337600,2.79442699,4994300,0.626684826
01/04/20,HD,44,3,1058400,2.907291667,2565800,0.21182404,0,0,80,3,3357200,2.837715805,5066700,0.67189689
01/04/17,NIC,65,2,3320800,2.21032989,4129300,0.397610125,0,0,81,2,4924700,2.20375698,6267800,0.589650259
01/05/17,NIC,65,2,3467800,2.205509689,4233800,0.407014002,0,0,83,4,4937100,2.21024245,6286100,0.57946503
01/06/17,NIC,66,2,3540000,2.201047175,4297600,0.414962079,0,0,83,5,4864800,2.21417232,6097500,0.570256362
01/07/17,NIC,68,5,3535900,2.164351933,4215800,0.412321004,0,0,84,4,4915200,2.224289449,6324500,0.573161062
01/08/17,NIC,67,4,3589600,2.152823713,4233800,0.407654307,0,0,83,4,5136300,2.233869906,5945600,0.583305888
01/09/17,NIC,67,6,3611100,2.142135499,4135200,0.415006953,0,0,83,4,4990400,2.240516892,5890100,0.573523496
01/10/17,NIC,65,4,3661900,2.132273137,3832800,0.404143076,0,0,82,5,5318400,2.211865223,5429400,0.58696156
01/11/17,NIC,64,3,3599200,2.140339659,4000800,0.399822262,0,0,81,4,5290600,2.174275602,5448500,0.587713841
01/12/17,NIC,65,4,3865900,2.152161851,3994900,0.400337593,0,0,81,3,5686600,2.190939313,5631400,0.588882215
01/01/18,NIC,68,4,3847200,2.094437773,4262900,0.402367854,0,0,83,4,5609400,2.193976005,5540800,0.586671408
01/02/18,NIC,70,5,3766200,2.090268175,4109000,0.416642698,18416.25,18416.25,82,6,5163300,2.176020762,5786900,0.571199416
01/03/18,NIC,70,4,3752500,2.106251033,4307200,0.405996083,32816.05,32816.05,85,7,5384600,2.157114363,5882300,0.582578684
01/04/18,NIC,70,6,3737600,2.101694001,4219100,0.425525132,0,0,83,6,4945300,2.14419287,5744800,0.563021575
01/05/18,NIC,68,6,3756600,2.093641192,4024500,0.395173676,0,0,81,6,5656700,2.106121148,5227200,0.595053754
01/06/18,NIC,68,7,3318900,2.105378288,3585900,0.401507361,0,0,81,6,4849500,2.125748221,5304600,0.58667328
01/07/18,NIC,68,7,3263700,2.115573429,4005300,0.404143345,0,0,81,6,4712000,2.140258171,5597100,0.583486057
01/08/18,NIC,67,7,3520800,2.118487134,3786800,0.414802248,0,0,80,7,4856000,2.121767607,5441100,0.572108531
01/09/18,NIC,67,6,3541600,2.1075048,3970000,0.428034469,0,0,78,7,4622900,2.137517359,4942000,0.558719377
01/10/18,NIC,67,7,3997900,2.079550139,4045000,0.448803871,0,0,79,6,4788000,2.165059942,4659400,0.537500421
01/11/18,NIC,66,3,3968700,2.091042533,3899400,0.452872173,0,0,79,4,4655200,2.124904193,4904500,0.531209348
01/12/18,NIC,66,3,4106800,2.092260763,3745700,0.461619738,0,0,80,8,4684300,2.156001644,5294500,0.526532906
01/01/19,NIC,66,7,4108300,2.027002897,3918600,0.448426039,0,0,81,6,4936000,2.117870847,5309700,0.53877052
01/02/19,NIC,64,2,3794100,2.023181914,4027400,0.450466602,0,0,80,5,4515900,2.102383246,5474500,0.536164605
01/03/19,NIC,68,6,4159400,2.267245035,4161000,0.466337044,0,0,79,5,4660300,2.337694784,5061800,0.52249616
01/04/19,NIC,68,6,4104200,2.33502668,4408500,0.480360487,0,0,78,3,4344800,2.445582305,4936600,0.508520599
01/05/19,NIC,68,5,4077200,2.333868709,4118400,0.468379878,0,0,75,4,4498100,2.435997977,4793900,0.516731956
01/06/19,NIC,69,4,4162400,2.341802205,3902900,0.468438052,0,0,76,4,4599700,2.425327195,4971500,0.517651958
01/07/19,NIC,69,4,4213200,2.357592922,3888300,0.455974026,0,0,75,4,4876600,2.408554218,5010400,0.527770563
01/08/19,NIC,66,3,4246700,2.357946052,3956800,0.455654506,0,0,76,4,4915300,2.392070881,5177900,0.527392704
01/09/19,NIC,67,4,3866500,2.343591491,4107500,0.461997108,0,0,73,5,4385200,2.480607042,5439900,0.523975099
01/10/19,NIC,68,5,3944000,2.370434457,3938900,0.442922118,0,0,73,3,4790400,2.475382745,5173600,0.537975181
01/11/19,NIC,70,3,3825700,2.383900985,4077300,0.455386264,0,0,76,3,4378600,2.526197301,5098000,0.521199857
01/12/19,NIC,70,3,3905600,2.373961747,4008700,0.447146374,0,0,80,4,4675600,2.476633266,4921200,0.535302536
01/01/20,NIC,70,2,3970600,2.40188095,4170600,0.452031558,0,0,79,6,4664600,2.425632959,4814400,0.531039743
01/02/20,NIC,71,3,3618300,2.37544496,4276600,0.441735542,0,0,77,4,4438200,2.434447862,4752300,0.541831988
01/03/20,NIC,71,2,4157200,2.348314611,4412900,0.469883467,0,0,77,4,4552000,2.479893783,4920300,0.514507251
01/04/20,NIC,71,2,2939400,2.346930156,4529300,0.471480816,0,0,77,3,3229300,2.473025888,4948000,0.51798088
01/04/17,CR,72,5,1781000,4.978731331,1816000,0.286417291,0,0,78,4,3616300,4.341970522,2855800,0.581567013
01/05/17,CR,74,1,1880800,4.929558698,1902600,0.289082553,0,0,78,2,3797400,4.400924185,2753500,0.583667635
01/06/17,CR,73,6,1740000,4.953791379,1766100,0.285522062,13418.64,13418.64,79,4,3562200,4.357163972,2752300,0.584532581
01/07/17,CR,70,5,1737100,4.948545852,1825500,0.282505814,3031.74,3031.74,79,4,3653100,4.330766883,2704000,0.594106263
01/08/17,CR,69,3,1772000,4.938602709,1847800,0.284389093,0,0,79,2,3568000,4.369713705,2898500,0.572629957
01/09/17,CR,70,4,1811500,4.947201214,1848500,0.291163045,0,0,80,3,3625600,4.435101225,2929700,0.582743989
01/10/17,CR,69,5,1846700,4.923654898,1836500,0.283758451,0,0,80,4,3717700,4.419395594,2738100,0.571250768
01/11/17,CR,70,6,1795600,4.942408944,1798500,0.288352524,0,0,78,5,3530500,4.41748081,2687200,0.566957332
01/12/17,CR,70,3,1879900,4.986691047,1918700,0.297589084,0,0,77,3,3499000,4.46935896,2641600,0.5538934
01/01/18,CR,72,5,1887000,4.918086116,1875100,0.306028122,0,0,79,8,3395800,4.494202839,2724100,0.550720877
01/02/18,CR,71,5,1766100,4.893884265,1833800,0.315803591,73453.39,62850.39,76,5,3211900,4.39255503,2731500,0.574333023
01/03/18,CR,71,4,1695000,4.974761652,1893900,0.285550633,99701.58,74927.58,78,4,3402800,4.410956565,2715700,0.573257636
01/04/18,CR,70,5,1626700,5.023484355,1932600,0.280818962,500,0,78,3,3382400,4.352416184,2690300,0.583907332
01/05/18,CR,69,4,1721900,5.06857483,1804000,0.286334309,64.46,64.46,79,3,3602800,4.363761102,2784700,0.599108687
01/06/18,CR,71,8,1522700,5.104614501,1785700,0.266523139,0,0,80,5,3404800,4.37958676,2659400,0.595953231
01/07/18,CR,69,2,1626400,5.124065421,1796600,0.275787225,0,0,76,4,3331900,4.375051472,2516600,0.564987367
01/08/18,CR,71,5,1649900,5.031499788,1739100,0.292167661,0,0,76,3,3276300,4.223661295,2534900,0.580173895
01/09/18,CR,70,3,1636800,4.884723851,1824000,0.301220118,0,0,77,2,3303200,4.128194478,2675800,0.607887521
01/10/18,CR,71,4,1626400,4.85794577,1907100,0.291354663,0,0,78,2,3432000,4.049146125,2576800,0.614811365
01/11/18,CR,70,1,1691500,4.629052616,1869300,0.311894972,0,0,78,3,3272700,4.138460446,2361800,0.603451773
01/12/18,CR,72,4,1689100,4.55777041,1841800,0.32292045,0,0,76,2,3138100,4.087709123,2372200,0.599938823
01/01/19,CR,71,3,1661800,4.557613732,1918700,0.324323269,0,0,76,5,3104800,3.932563611,2341600,0.605944691
01/02/19,CR,71,2,1545200,4.573287277,1864200,0.323209505,81553.11,69492.64,76,4,2855400,3.993510541,2190200,0.597264056
01/03/19,CR,74,4,1598400,4.617103041,1793600,0.326403921,76997.67,68199.59,76,4,2879200,3.983947451,2211600,0.587951807
01/04/19,CR,71,2,1498600,4.600211197,1791900,0.307140515,0,0,78,3,2794800,4.002405539,2092400,0.572798819
01/05/19,CR,72,4,1593100,4.623559099,1766800,0.310485286,0,0,78,4,3067500,4.006340179,2123500,0.597836679
01/06/19,CR,71,3,1511500,4.694765465,1773800,0.301883401,0,0,77,5,3000800,4.009440816,2196100,0.599332921
01/07/19,CR,70,5,1619400,4.745417747,1692500,0.309441461,0,0,77,4,2992500,4.026409357,2157600,0.571818929
01/08/19,CR,69,6,1470700,4.805228463,1541700,0.290330859,0,0,77,6,2996100,4.075792697,1958000,0.591460044
01/09/19,CR,71,4,1340700,5.058691728,1543700,0.268145363,0,0,76,5,2996000,4.149807243,1916100,0.599211984
01/10/19,CR,71,4,1302300,5.01532289,1649700,0.256358268,133.6,0,75,3,3091300,4.050109016,2026000,0.608523622
01/11/19,CR,73,5,1373300,5.061958785,1595200,0.27210763,433.16,0,74,3,2986200,4.040049226,2042900,0.591689948
01/12/19,CR,73,4,1327800,5.233172164,1656100,0.255897317,0,0,76,4,3139500,3.798045708,2163500,0.605053191
01/01/20,CR,73,4,1297600,5.292247611,1549900,0.259007166,0,0,76,5,3023300,3.894620282,2037200,0.603465139
